Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1168,542,-1.000,-1.000,8200
1,2,1172,554,2.871,0.287,7759
1,3,1160,548,3.046,0.305,7042
1,4,1150,546,2.315,0.231,8466
1,5,1138,546,2.724,0.272,8616
1,6,1128,544,2.315,0.231,7675
1,7,1116,540,2.871,0.287,7589
1,8,1102,536,3.305,0.331,6483
1,9,1098,536,0.908,0.091,8308
1,10,1092,536,1.362,0.136,8571
1,11,1084,538,1.872,0.187,8279
1,12,1076,542,2.030,0.203,8285
1,13,1056,546,4.630,0.463,8598
1,14,1034,548,5.015,0.501,8860
1,15,1016,548,4.086,0.409,9013
1,16,996,550,4.563,0.456,7710
1,17,986,550,2.270,0.227,8715
1,18,976,550,2.270,0.227,8377
1,19,974,546,1.015,0.102,8323
1,20,970,546,0.908,0.091,8232
1,21,968,540,1.436,0.144,8803
1,22,966,536,1.015,0.102,8818
1,23,962,530,1.637,0.164,8062
1,24,940,528,5.015,0.501,8380
1,25,930,530,2.315,0.231,8011
1,26,910,530,4.540,0.454,8016
1,27,892,530,4.086,0.409,7641
1,28,872,530,4.540,0.454,8740
1,29,870,530,0.454,0.045,7536
1,30,862,530,1.816,0.182,7410
1,31,848,530,3.178,0.318,7985
1,32,832,530,3.632,0.363,8033
1,33,824,524,2.270,0.227,6876
1,34,804,506,6.108,0.611,6877
1,35,770,468,11.575,1.157,6649
1,36,750,460,4.890,0.489,7236
1,37,740,460,2.270,0.227,8840
1,38,724,460,3.632,0.363,8069
1,39,708,474,4.826,0.483,8443
1,40,696,486,3.852,0.385,7913
1,41,686,488,2.315,0.231,7873
1,42,672,494,3.458,0.346,8355
1,43,668,492,1.015,0.102,8244
1,44,662,492,1.362,0.136,8096
1,45,658,494,1.015,0.102,8599
1,46,652,498,1.637,0.164,8203
1,47,646,506,2.270,0.227,7945
1,48,646,516,2.270,0.227,7743
1,49,646,516,0.000,0.000,8123
2,1,1360,970,-1.000,-1.000,7063
2,2,1378,966,4.186,0.419,8060
2,3,1388,968,2.315,0.231,7097
2,4,1406,980,4.911,0.491,8122
2,5,1412,990,2.647,0.265,7438
2,6,1418,1012,5.176,0.518,7687
2,7,1418,1034,4.994,0.499,5467
2,8,1418,1054,4.540,0.454,8336
2,9,1418,1100,10.442,1.044,7192
2,10,1412,1122,5.176,0.518,8797
