Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,730,286,-1.000,-1.000,7693
1,2,742,278,3.274,0.327,7451
1,3,742,268,2.270,0.227,8262
1,4,746,262,1.637,0.164,8091
1,5,750,256,1.637,0.164,7227
1,6,758,250,2.270,0.227,8194
1,7,774,240,4.283,0.428,7385
1,8,792,220,6.108,0.611,7881
1,9,800,214,2.270,0.227,7357
1,10,808,208,2.270,0.227,8200
1,11,822,198,3.905,0.391,8041
1,12,836,184,4.494,0.449,8033
1,13,860,170,6.307,0.631,7785
1,14,864,162,2.030,0.203,7566
1,15,884,154,4.890,0.489,8155
1,16,904,150,4.630,0.463,7588
1,17,924,140,5.076,0.508,7452
1,18,936,138,2.762,0.276,7748
1,19,950,138,3.178,0.318,7363
1,20,976,134,5.971,0.597,7887
1,21,996,134,4.540,0.454,7696
1,22,1008,134,2.724,0.272,7622
1,23,1024,134,3.632,0.363,7427
1,24,1048,134,5.448,0.545,7595
1,25,1054,136,1.436,0.144,7465
1,26,1064,154,4.674,0.467,7951
1,27,1068,168,3.305,0.331,8067
1,28,1068,186,4.086,0.409,7738
1,29,1068,200,3.178,0.318,7975
2,1,1200,420,-1.000,-1.000,7238
2,2,1200,422,0.454,0.045,7364
2,3,1192,426,2.030,0.203,7036
2,4,1196,398,6.421,0.642,7608
2,5,1196,390,1.816,0.182,7275
2,6,1196,388,0.454,0.045,7579
2,7,1198,384,1.015,0.102,7563
2,8,1204,364,4.740,0.474,7682
2,9,1212,344,4.890,0.489,7360
2,10,1212,342,0.454,0.045,7053
2,11,1214,336,1.436,0.144,7581
2,12,1200,326,3.905,0.391,7553
2,13,1188,306,5.295,0.529,7934
2,14,1186,286,4.563,0.456,6817
2,15,1186,266,4.540,0.454,7588
2,16,1178,256,2.907,0.291,7701
2,17,1174,242,3.305,0.331,7610
2,18,1174,212,6.810,0.681,7306
2,19,1176,188,5.467,0.547,7804
2,20,1178,174,3.210,0.321,7132
2,21,1180,160,3.210,0.321,7447
2,22,1184,154,1.637,0.164,7463
2,23,1198,140,4.494,0.449,7427
2,24,1202,130,2.445,0.244,7206
2,25,1202,102,6.356,0.636,6804
2,26,1202,86,3.632,0.363,7067
2,27,1172,56,9.631,0.963,6679
2,28,1164,44,3.274,0.327,6620
2,29,1158,32,3.046,0.305,7408
2,30,1156,28,1.015,0.102,7034
2,31,1156,24,0.908,0.091,7521
2,32,1156,22,0.454,0.045,7181
3,1,1474,318,-1.000,-1.000,6800
3,2,1452,332,5.919,0.592,6546
3,3,1444,338,2.270,0.227,6772
3,4,1436,338,1.816,0.182,7761
3,5,1420,342,3.744,0.374,6974
3,6,1384,344,8.185,0.818,7972
3,7,1378,344,1.362,0.136,7238
3,8,1370,344,1.816,0.182,7662
3,9,1360,344,2.270,0.227,7542
3,10,1354,344,1.362,0.136,7516
3,11,1342,338,3.046,0.305,7605
3,12,1322,314,7.092,0.709,6297
3,13,1310,278,8.614,0.861,6622
3,14,1306,254,5.523,0.552,7112
3,15,1306,230,5.448,0.545,8357
3,16,1306,206,5.448,0.545,6561
3,17,1312,180,6.057,0.606,5683
3,18,1320,156,5.743,0.574,9399
3,19,1336,142,4.826,0.483,5952
3,20,1346,136,2.647,0.265,6936
3,21,1364,126,4.674,0.467,7486
3,22,1414,102,12.590,1.259,7328
3,23,1432,90,4.911,0.491,6078
3,24,1456,76,6.307,0.631,9049
3,25,1480,62,6.307,0.631,6114
3,26,1514,50,8.185,0.818,7153
3,27,1530,38,4.540,0.454,7002
3,28,1546,24,4.826,0.483,6036
3,29,1560,18,3.458,0.346,4602
3,30,1574,8,3.905,0.391,6525
4,1,1266,668,-1.000,-1.000,7440
4,2,1270,666,1.015,0.102,7125
4,3,1280,666,2.270,0.227,6908
4,4,1306,670,5.971,0.597,7503
4,5,1318,670,2.724,0.272,7703
4,6,1324,668,1.436,0.144,7582
4,7,1330,666,1.436,0.144,7025
4,8,1340,662,2.445,0.244,7506
4,9,1344,660,1.015,0.102,7557
4,10,1348,662,1.015,0.102,7249
4,11,1350,662,0.454,0.045,7856
4,12,1352,656,1.436,0.144,7447
4,13,1354,654,0.642,0.064,7740
4,14,1354,628,5.902,0.590,6371
4,15,1354,616,2.724,0.272,7401
4,16,1354,600,3.632,0.363,7442
4,17,1356,590,2.315,0.231,7681
4,18,1358,574,3.660,0.366,7529
4,19,1356,544,6.825,0.683,5934
4,20,1352,530,3.305,0.331,7643
4,21,1348,506,5.523,0.552,7272
4,22,1346,484,5.015,0.501,7020
4,23,1346,466,4.086,0.409,7079
4,24,1342,448,4.186,0.419,6734
4,25,1340,416,7.278,0.728,7326
4,26,1338,404,2.762,0.276,7501
4,27,1338,404,0.000,0.000,6553
4,28,1340,404,0.454,0.045,7375
4,29,1352,404,2.724,0.272,7332
4,30,1358,400,1.637,0.164,6351
4,31,1362,380,4.630,0.463,6703
4,32,1362,362,4.086,0.409,7191
4,33,1364,344,4.111,0.411,7414
4,34,1362,322,5.015,0.501,6648
4,35,1360,310,2.762,0.276,7310
4,36,1356,298,2.871,0.287,7486
4,37,1350,288,2.647,0.265,7089
4,38,1338,278,3.546,0.355,7089
4,39,1330,272,2.270,0.227,7098
4,40,1322,256,4.061,0.406,7165
4,41,1322,236,4.540,0.454,7492
4,42,1322,210,5.902,0.590,7062
4,43,1322,202,1.816,0.182,7295
4,44,1324,194,1.872,0.187,7224
4,45,1324,182,2.724,0.272,6757
4,46,1328,168,3.305,0.331,6673
4,47,1334,150,4.307,0.431,6898
4,48,1348,126,6.307,0.631,6774
4,49,1356,108,4.471,0.447,7043
4,50,1360,102,1.637,0.164,6679
4,51,1362,96,1.436,0.144,7032
4,52,1366,88,2.030,0.203,6441
4,53,1372,80,2.270,0.227,6834
4,54,1392,72,4.890,0.489,6764
4,55,1410,60,4.911,0.491,6474
4,56,1420,54,2.647,0.265,6766
4,57,1434,54,3.178,0.318,6485
4,58,1452,54,4.086,0.409,6445
4,59,1474,54,4.994,0.499,6829
4,60,1488,54,3.178,0.318,6151
4,61,1500,54,2.724,0.272,6090
4,62,1514,54,3.178,0.318,6494
4,63,1532,54,4.086,0.409,6545
4,64,1538,58,1.637,0.164,6881
4,65,1552,60,3.210,0.321,6475
4,66,1558,64,1.637,0.164,6750
4,67,1566,74,2.907,0.291,6739
4,68,1580,90,4.826,0.483,6950
4,69,1600,102,5.295,0.529,6909
4,70,1616,122,5.814,0.581,5694
4,71,1626,146,5.902,0.590,6412
4,72,1630,156,2.445,0.244,6630
4,73,1644,158,3.210,0.321,3102
5,1,880,874,-1.000,-1.000,7758
5,2,870,866,2.907,0.291,8143
5,3,844,856,6.323,0.632,7749
5,4,824,850,4.740,0.474,7907
5,5,812,844,3.046,0.305,7897
5,6,800,840,2.871,0.287,8025
5,7,770,836,6.870,0.687,7090
5,8,754,828,4.061,0.406,7843
5,9,720,824,7.771,0.777,7863
5,10,704,822,3.660,0.366,7695
5,11,678,820,5.919,0.592,7208
5,12,668,818,2.315,0.231,7586
5,13,652,824,3.879,0.388,7949
5,14,642,834,3.210,0.321,7382
5,15,636,848,3.458,0.346,7387
5,16,630,852,1.637,0.164,7461
5,17,646,846,3.879,0.388,7311
5,18,646,846,0.000,0.000,7880
5,19,654,840,2.270,0.227,7504
5,20,664,840,2.270,0.227,7873
5,21,680,840,3.632,0.363,7519
5,22,736,846,12.785,1.278,7705
5,23,752,846,3.632,0.363,7701
5,24,760,844,1.872,0.187,7662
5,25,772,832,3.852,0.385,7697
5,26,780,822,2.907,0.291,7480
5,27,784,818,1.284,0.128,8069
5,28,780,802,3.744,0.374,8002
5,29,776,782,4.630,0.463,7854
5,30,766,772,3.210,0.321,7873
6,1,426,946,-1.000,-1.000,7837
6,2,424,940,1.436,0.144,7674
6,3,406,928,4.911,0.491,7647
6,4,386,912,5.814,0.581,7402
6,5,374,904,3.274,0.327,7423
6,6,360,884,5.542,0.554,7532
6,7,350,874,3.210,0.321,7859
6,8,344,864,2.647,0.265,7821
6,9,330,854,3.905,0.391,7441
6,10,316,838,4.826,0.483,7521
6,11,300,826,4.540,0.454,7512
6,12,276,806,7.092,0.709,7643
6,13,262,788,5.176,0.518,7537
6,14,250,782,3.046,0.305,7208
6,15,234,770,4.540,0.454,7173
6,16,226,760,2.907,0.291,7683
6,17,210,750,4.283,0.428,7982
6,18,156,714,14.732,1.473,7325
6,19,118,690,10.202,1.020,7537
6,20,78,660,11.350,1.135,7535
6,21,76,662,0.642,0.064,7231
6,22,76,662,0.000,0.000,7703
6,23,70,664,1.436,0.144,7305
6,24,70,666,0.454,0.045,7575
6,25,62,676,2.907,0.291,7677
6,26,52,688,3.546,0.355,7840
6,27,52,690,0.454,0.045,7754
6,28,72,662,7.811,0.781,8112
6,29,90,650,4.911,0.491,7583
6,30,98,622,6.610,0.661,7245
6,31,104,604,4.307,0.431,7699
