GFP,Rab1a,Rab1b,Rab2a,Rab3a,Rab4a,Rab5a,Rab5c,Rab6a,Rab7a,Rab8a,Rab8b,Rab9a,Rab10,Rab11a,Rab12,Rab13,Rab14,Rab15,Rab17,Rab18,Rab19b,Rab20,Rab21,Rab22,Rab23,Rab24,Rab25,Rab26,Rab27,Rab28,Rab30,Rab33a,Rab33b,Rab35,Rab37,Rab38,Rab39,Rab40,Rab43
,,,,2.58324196,2.055835973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.26841761,3.00101714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.432518458,1.364187186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.817811581,1.442298113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.395708331,3.437226614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.834191267,2.811094503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.654581427,1.959573019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.030819942,2.835315291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4.815206398,2.280523742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.800223693,2.507021222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.438050992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.124779172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.424877865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.136309233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.935855932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
