GFP,Rab1a,Rab1b,Rab2,Rab3,Rab4,Rab5a,Rab5c,Rab6,Rab7,Rab8a,Rab8b,Rab9,Rab10,Rab11,Rab12,Rab13,Rab14,Rab15,Rab17,Rab18,Rab19,Rab20,Rab21,Rab22,Rab23,Rab24,Rab25,Rab26,Rab27,Rab28,Rab30,Rab33a,Rab33b,Rab35,Rab37,Rab38,Rab39,Rab40,Rab43
0.939341664,2.805577649,2.104708851,1.965021167,1.629347249,,1.503215261,,1.71902111,,1.260351822,1.444930561,1.0547647,2.171061509,,,1.187970028,1.979159291,1.222314492,1.327407841,1.173373276,1.31535244,1.91113867,1.462775629,1.223659334,1.121836736,1.093487821,3.094123841,2.813135375,1.529890651,1.258731123,1.831519816,1.511984423,2.016731599,1.509682723,1.387570881,1.29225601,2.01080549,0.971029025,1.037336164
0.973979821,,2.073779471,1.688880239,1.636487053,,1.201855867,,1.360021222,,1.190436736,1.337949338,1.275342909,1.088977908,,,1.340316301,2.334318126,,1.274614858,0.989492104,1.156857246,1.25198366,,1.087195958,1.290372324,2.014187512,3.430965909,2.474143321,1.284911262,1.322582585,4.145061531,0.975714948,1.437925159,1.237671597,1.386748473,1.467222446,1.738317838,0.86692666,2.038373688
1.025011828,,2.088864206,1.423048121,1.496011938,,1.028173963,,1.333531421,,1.457219077,1.480839195,1.461223977,1.415698869,,,1.225894888,1.542767744,,1.267943993,0.870967742,1.949441753,,,1.026204054,1.084919777,1.305620886,2.96509064,2.501728941,1.495676845,1.071781073,2.455603396,1.19070986,2.178624321,1.392131007,1.617596154,1.572860084,1.137035324,1.082119467,2.244173948
0.934149969,,1.81654715,,1.851816627,,1.586710757,,1.139168342,,1.476542363,1.366710794,1.148524412,1.972732763,,,1.330910223,,,2.090109108,,2.579778607,,,1.196357762,1.369281227,1.076290965,3.251642222,4.960488475,1.310016552,1.156345984,2.713125307,1.669366601,2.00844946,1.567031237,1.457652283,1.299765436,1.175132396,,2.54802378
,,2.478360261,,1.86561208,,,,1.300874369,,,1.444815848,1.079402183,1.776455444,,,1.287261108,,,,,2.609073286,,,1.100979574,1.27740179,1.791182354,3.20773403,4.927811359,1.277699437,1.404264032,2.521619429,1.866012235,1.854262765,1.209117485,1.83879384,1.126628792,1.033766495,,2.766760461
,,2.30705948,,2.236546833,,,,1.193622646,,,1.432697166,1.057326254,1.425868794,,,1.255395683,,,,,1.747188691,,,1.077688247,1.16636844,,,,0.878196147,1.222997924,2.70218921,1.225837297,,0.830383748,1.730009701,1.154884137,1.005425809,,2.529761088
,,3.160150592,,2.475070346,,,,1.625375263,,,1.494408012,,1.711797943,,,1.084107211,,,,,1.425509342,,,1.102175195,1.223954192,,,,2.299405207,1.22093332,,1.808332211,,,1.713824361,1.261950219,,,2.467421754
,,,,2.403847535,,,,1.438917408,,,1.416342818,,,,,1.02109568,,,,,2.457921706,,,1.252507402,1.351640194,,,,1.384047442,1.220889968,,1.318174332,,,1.565063491,1.34799135,,,1.636656471
,,,,2.302597403,,,,,,,1.372802571,,,,,1.153183206,,,,,2.054991587,,,1.258634938,1.227079677,,,,,1.063278461,,,,,1.677998245,1.173034225,,,2.714717872
,,,,3.241343689,,,,,,,,,,,,1.120085766,,,,,1.912859914,,,1.195594554,1.200028102,,,,,1.09533956,,,,,,2.889568556,,,2.413369493
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.611831705,,,1.687301083
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.283958871,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71803449,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.478284687,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.346230014,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.533487585,,,
