GFP,Rab1a,Rab1b,Rab2a,Rab3a,Rab4a,Rab5a,Rab5c,Rab6a,Rab7a,Rab8a,Rab8b,Rab9a,Rab10,Rab11a,Rab12,Rab13,Rab14,Rab15,Rab17,Rab18,Rab19b,Rab20,Rab21,Rab22,Rab23,Rab24,Rab25,Rab26,Rab27,Rab28,Rab30,Rab33a,Rab33b,Rab35,Rab37,Rab38,Rab39,Rab40,Rab43
0.716594239,2.640039416,2.940002294,1.754252534,1.33039533,1.520499136,1.268935963,2.095226285,1.065685686,0.913410242,1.187133982,1.53915197,1.076660932,1.708336357,1.771358519,1.912236986,1.147312069,1.899222593,1.923328897,1.198922637,1.026822405,3.737002048,1.812415663,1.267003118,1.389179727,1.264145946,1.199918313,1.594203046,3.365482849,1.859354514,1.352197039,4.657313095,1.333797245,1.906659947,1.274072932,1.954240119,1.043721434,1.26815322,1.335755783,2.521524712
0.770458369,2.141893906,2.646425079,0.869560783,1.188326341,2.196330394,1.202601971,0.855309995,1.43589962,0.724417977,1.182651367,1.378930963,0.94878431,1.831513103,1.055602413,2.513310607,1.104862429,2.439965927,1.378074582,2.057486845,1.48176444,2.260317127,1.20643128,1.223393731,0.839732934,0.990424766,1.398167077,0.994065306,8.875173034,1.652540206,1.138252465,5.701327857,1.541567161,2.25024732,1.14178037,1.46012603,1.311953151,1.141097958,1.56583877,1.778277571
0.959465976,1.717932233,2.294820139,1.801034069,1.267908183,1.777673984,1.842955023,1.903246486,1.079874274,1.473948515,1.631537045,1.319208927,1.100033784,1.964596359,0.710073529,1.534854746,1.371026881,3.455809269,2.371298867,1.408670026,0.74553008,3.426904959,1.178704299,1.388431297,0.971830219,1.198432215,1.205794499,1.006707489,3.065135147,1.353307035,0.958042388,3.408967028,2.211454769,3.491586393,1.332321319,1.336859706,0.854660994,1.155718779,1.441846499,1.86256723
0.805289554,1.35371349,3.641926477,1.8685436,1.825768213,1.23382152,1.557062033,0.819295692,1.355853694,0.957900995,1.297793479,1.400423929,0.985039962,1.493983367,0.878663596,2.327775798,1.00942959,1.588391168,2.028985656,1.017537875,0.853741567,1.525317515,1.072257979,1.105685209,1.120384509,1.205275923,1.145515493,1.109882382,2.277950806,1.43529149,1.121060089,3.788031887,2.027130643,3.479387076,1.029201683,1.264850286,1.109879372,1.006217212,1.510259694,2.259754161
0.934856126,5.150942117,4.019902966,1.372462453,1.020313979,1.247824618,1.283769691,1.76778756,1.208333797,1.133509025,1.955755448,2.034226921,1.275431853,1.687323245,1.548362256,2.482657341,1.265501919,3.172983666,1.169970203,0.892664096,1.164272243,1.617613505,1.104954133,1.293550079,0.864992239,1.164363001,1.384986242,1.102946954,3.959737335,1.626362229,1.380424652,5.911931506,1.82740452,4.256492628,1.336025695,1.352942302,0.94562088,1.239770873,1.588700361,2.82806939
0.777793767,1.727998666,5.772290454,1.442353976,1.361639016,1.57480188,1.056315499,1.084750008,0.872412147,1.547600972,1.191758939,1.487465388,1.012754792,1.410693571,2.31935196,1.934962538,1.252292372,2.171915701,1.957254643,1.021171657,0.876968436,2.543247487,1.053708832,1.309552047,1.160447231,1.192345708,2.160346796,1.041226334,1.114634441,1.121350494,1.230355735,6.753624996,1.209017767,2.895830506,0.980595828,1.611825378,0.806325407,2.500052004,1.774471863,2.008672446
0.994162004,1.366180479,6.575106264,1.330669987,1.589120395,1.852371538,1.830334662,1.476324603,1.16039646,1.282374507,1.345888609,1.647498029,1.116066389,1.685253715,1.427691528,0.94310509,1.272539523,2.453086793,1.613862302,0.908148019,0.882849215,1.684285622,1.288619737,1.251461083,1.033167054,0.902871491,1.275727655,1.388723232,5.340158497,0.973508585,1.795224376,3.832339131,1.304146333,2.715883065,1.209342785,1.390664672,1.094551213,2.464967001,1.214781954,2.268578852
0.866447213,5.946589676,2.436522464,1.356698662,1.609548354,2.077290037,1.906087841,1.253160211,1.08549128,1.062645144,1.31612915,1.179527205,1.422750915,1.872405743,1.01657743,2.93902047,1.248178965,2.025034077,1.675403121,1.548137386,0.76109788,1.633330428,1.352964898,1.747712687,1.169776305,1.010326495,1.294864568,0.933720585,2.883841459,1.429404227,1.186187779,9.622647019,2.126047739,2.530370491,1.247973536,1.73059493,1.2290834,1.432093711,1.748984106,1.693658647
0.711507631,4.063859494,,1.690092694,1.821060517,1.089596488,1.366171059,1.756438352,0.891144774,1.95868606,1.277824498,1.309348625,1.315782897,2.746233207,1.097577805,,1.123657047,1.389176817,1.648754391,1.671071138,0.94907492,1.964772681,1.049577478,1.261443322,1.169776305,1.106852601,1.390002284,0.729938883,2.293814234,1.648314273,1.109804705,6.380151466,1.666940771,1.478662161,1.097018543,1.536104581,0.980524884,1.370146464,1.732385313,3.206638194
,,,1.8685436,1.473022026,1.415169084,1.289612918,1.967270486,1.115858182,,1.178258888,1.596837124,1.217795502,2.103359693,0.769325965,,,1.390542861,,1.372292395,,,1.345315067,,1.060291307,1.150686904,,2.146089026,1.81862154,1.137962196,,2.33415955,1.88571257,1.601160516,1.123791779,1.50502378,0.933475234,,2.249274031,
