"myheaders","mymeans","mybcalo","mybcahi"
"Rab1a",2.06361939977778,1.17297277344444,3.35813493433333
"Rab1b",2.95347730834722,2.11165258384722,4.24788513547222
"Rab2a",0.729469737585859,0.511898939313131,0.884418928949495
"Rab3a",0.652145087031746,0.54123082884127,0.783216835603175
"Rab4a",0.719967727365079,0.570668114293651,0.902433733579365
"Rab5a",0.622987457222222,0.458227089022222,0.812528272822222
"Rab5c",0.660483759022222,0.361862530822222,0.923055249922222
"Rab6a",0.289697782622222,0.193830381222222,0.403261278422222
"Rab7a",0.390879839777778,0.187039426555556,0.663984340555556
"Rab8a",0.519075931722222,0.411334122822222,0.729952383922222
"Rab8b",0.651864699322222,0.539552745122222,0.839614837622222
"Rab9a",0.309712924822222,0.225710964322222,0.408874555122222
"Rab10",1.01297262722222,0.845601346022222,1.31299416482222
"Rab11a",0.422061291322222,0.176857487022222,0.775446765222222
"Rab12",1.23609323822222,0.762515538972222,1.59611425147222
"Rab13",0.362025101777778,0.288678517333333,0.425590350666667
"Rab14",1.36121567842222,0.992184743522222,1.83275801772222
"Rab15",0.914484198111111,0.693527186555556,1.13267248
"Rab17",0.472212998622222,0.281788304522222,0.728494390622222
"Rab18",0.133949589666667,0.025556156,0.341487268
"Rab19b",1.42846849922222,1.02450093033333,2.05741259188889
"Rab20",0.409097727822222,0.311611796422222,0.614607518622222
"Rab21",0.479073077111111,0.400761750555556,0.649696417444444
"Rab22",0.240560574222222,0.152129847022222,0.340443208622222
"Rab23",0.281175296222222,0.202486603422222,0.338651895122222
"Rab24",0.546527560888889,0.423965736111111,0.872969436
"Rab25",0.367353114922222,0.188896708622222,0.690912290122222
"Rab26",2.66205772542222,1.71077087222222,4.60527553382222
"Rab27",0.586342316122222,0.415459044722222,0.748169713422222
"Rab28",0.414997149888889,0.298393465222222,0.624998242666667
"Rab30",4.40165214472222,3.35019386472222,5.79088819632222
"Rab33a",0.875924743022222,0.664126417822222,1.08294566172222
"Rab33b",1.82323080152222,1.34496344642222,2.38399076192222
"Rab35",0.339815238222222,0.265020784522222,0.409955843622222
"Rab37",0.676925969622222,0.575180148622222,0.829177793522222
"Rab38",0.193582388122222,0.107536617022222,0.294184888722222
"Rab39",0.671293593666667,0.397047648444445,1.12277849866667
"Rab40",0.778832628622222,0.640275628322222,0.993185645522222
"Rab43",1.43235181377778,1.16633901766667,1.79836387422222
