"myheaders","mymeans","mybcalo","mybcahi"
"Rab1a",4.1695105217,3.643723014,5.0045930543
"Rab1b",4.0506580067,2.8339003683,5.5706174996
"Rab2a",1.3437086708,1.1456880713,1.598961839
"Rab3a",1.66734023125,1.3780035968,2.1168172787
"Rab4a",1.6927602177,1.42239305434,1.98232069406
"Rab5a",0.9421964666,0.7274353893,1.221927786
"Rab5c",1.03488364181111,0.491462389366667,1.58973135003333
"Rab6a",0.6653278632,0.5268857675,0.8309093341
"Rab7a",0.669234969033333,0.398695600477778,1.17922661325556
"Rab8a",1.149426127,0.9333999966,1.5832035049
"Rab8b",1.20371849014444,0.939550562477778,1.51565036925556
"Rab9a",0.4809626891,0.3151546924,0.6658290026
"Rab10",3.2467402332,2.6209311426,4.0491402587
"Rab11a",3.0966765722,2.4507056621,4.1035347948
"Rab12",1.5061990682,1.1636424612,2.0621951671
"Rab13",0.7043438517,0.576938181033333,0.805967994255556
"Rab14",4.8271316346,3.1275800209,7.7357607484
"Rab15",0.9638550884,0.7688145191,1.2804455935
"Rab17",2.77785149698571,1.88941592484286,3.76667687941429
"Rab18",0.33274980195,0.111344160575,0.67006673995
"Rab19b",1.767643133,1.3429816603,2.2774769776
"Rab20",1.133828857,0.8068893171,1.5413000093
"Rab21",1.5396411103,1.2774352337,1.8134645204
"Rab22",0.802506629985714,0.6222189457,0.923791586557143
"Rab23",0.9273534036,0.7112314127,1.2464457677
"Rab24",0.5519048276,0.4526406071,0.692423928
"Rab25",1.615155418,1.153716811,2.1580620768
"Rab26",4.3421801876,3.1431692351,5.8414989047
"Rab27",0.7211630613,0.4517856369,1.437401523
"Rab28",0.5776985055,0.4984927831,0.6857469055
"Rab30",4.957909858,4.2514068191,6.1240028867
"Rab33a",1.82659498214444,1.33843164758889,2.59331280881111
"Rab33b",1.3714799235,1.0710267952,1.7064028708
"Rab35",0.846055983477778,0.739178940922222,0.959621403588889
"Rab37",0.9079223373,0.7633202685,1.1051950278
"Rab38",0.6805439782,0.5013156598,0.8518522356
"Rab39",0.532452151811111,0.333385995255556,0.6456094177
"Rab40",0.2332856765,-0.0204843436,0.4222729564
"Rab43",1.48721207081111,1.20429843225556,1.85078936214444
