"mymeans","mybcalo","mybcahi"
4.1695105217,3.6322616574,5.0197362848
4.0506580067,2.8722334339,5.584466601
1.3437086708,1.1404729625,1.5893243829
1.66734023125,1.3867019075,2.12540010095
1.6927602177,1.43413593786,1.97074845658
0.9421964666,0.7271831164,1.2236078483
1.03488364181111,0.495788205033333,1.57762379736667
0.6653278632,0.5249726406,0.8362831197
0.669234969033333,0.4017279647,1.17922661325556
1.149426127,0.9304488428,1.5928537009
1.20371849014444,0.935380286144444,1.52905722892222
0.4809626891,0.3175219911,0.6588815996
3.2467402332,2.6189397593,4.070824259
3.0966765722,2.461292074,4.1378911165
1.5061990682,1.1619203637,2.0594956108
0.7043438517,0.5770791587,0.8069603687
4.8271316346,3.1264969879,7.7881042436
0.9638550884,0.7701768708,1.2774208022
0.5519048276,0.452339209,0.6885529245
0.33274980195,0.118442309575,0.682771878575
1.767643133,1.3418491328,2.2875034746
1.133828857,0.8102100604,1.5328127746
1.5396411103,1.2657538465,1.8128283923
0.802506629985714,0.617789825985714,0.928754677128571
0.9273534036,0.7046977357,1.2499419109
2.77785149698571,1.91899921955714,3.77791923498571
1.615155418,1.1718277904,2.1585298948
4.3421801876,3.1350458109,5.8143278065
0.7211630613,0.4491779249,1.4292603686
0.5776985055,0.4993219306,0.6873146191
4.957909858,4.2344428616,6.1107036293
1.82659498214444,1.35640970981111,2.62097954181111
1.3714799235,1.0712209695,1.7097699723
0.846055983477778,0.737112864477778,0.960319797144444
0.9079223373,0.7624458472,1.1014000208
0.6805439782,0.5004424733,0.8501611201
0.532452151811111,0.334939035255556,0.644235119366667
0.2332856765,-0.017151949,0.420005103
1.48721207081111,1.19638737803333,1.84356630358889
