"myheaders","mymeans","mybcalo","mybcahi"
"Rab1a",0.834031713261905,0.608833927214286,1.06780142059524
"Rab1b",0.770150860055556,0.590854978685185,0.99202039912963
"Rab2",0.450420808818841,0.342304973123188,0.564961166557971
"Rab3",1.1745591012,1.01146015083333,1.36348905756667
"Rab4",1.52614681722917,1.28046588872917,1.86117744147917
"Rab5a",0.2423440725,0.135595254583333,0.390865829875
"Rab5c",0.465026850166667,0.303775889519608,0.70222563404902
"Rab6",0.246289556738095,0.129766897845238,0.370435733309524
"Rab7",0.119095691116667,0.0417306196666666,0.190156181416667
"Rab8a",0.295356924291667,0.218090414708333,0.389028886625
"Rab8b",0.264287129890805,0.148661597235632,0.378569996614943
"Rab9",0.154019819474359,0.0958774806666666,0.227214427051282
"Rab10",0.633135038203704,0.481052212611111,0.846503743981481
"Rab11",0.973794074716667,0.725360973516667,1.28299032866667
"Rab12",0.916371259766667,0.672276427366667,1.22974081681667
"Rab13",0.217798799133333,0.141270157766667,0.303801076833333
"Rab14",1.03700989081884,0.847945876688406,1.23560573121014
"Rab15",0.319163092404762,0.179589268261905,0.520325071023809
"Rab17",0.393579877206667,0.281041201406667,0.521139869606667
"Rab18",0.0574513929057971,-0.0066447011376812,0.168941978557971
"Rab19",0.617695250433333,0.4774053442,0.8040387365
"Rab20",0.288382101757576,0.208094167348485,0.404780953712121
"Rab21",0.355096068880952,0.274341480690476,0.423926454119048
"Rab22",0.1779600827,0.140031889366667,0.214626008966667
"Rab23",0.184634576,0.1454366758,0.229912255466667
"Rab24",0.140688288833333,0.0291224618333333,0.285834301291667
"Rab25",1.36210295972667,1.02912669456667,1.72921783412667
"Rab26",1.15297523812667,0.847053388606667,1.66840962012667
"Rab27",0.382452913845238,0.266664987023809,0.528883780880952
"Rab28",0.285790562933333,0.237515629466667,0.3331693429
"Rab30",1.51630010435897,1.29825387320513,1.7952535151282
"Rab33a",0.555509467488095,0.441648176738095,0.698708043095238
"Rab33b",0.628870430646667,0.461022413846667,0.899593323686667
"Rab35",0.427119849935897,0.321769594512821,0.588544933935897
"Rab37",0.48707548095977,0.373451927545977,0.63229027133908
"Rab38",0.58968474375,0.3960265065,0.959356255555556
"Rab39",0.291216162782051,0.0924384546666666,0.51871946274359
"Rab40",0.0413001240797101,-0.0496912300072464,0.139647527297101
"Rab43",0.812148891263441,0.633589892069892,1.02263671887634
