Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1074,446,-1.000,-1.000,7177
1,2,1088,432,4.494,0.449,6324
1,3,1100,440,3.274,0.327,8044
1,4,1124,436,5.523,0.552,6863
1,5,1136,434,2.762,0.276,7397
1,6,1156,436,4.563,0.456,7305
1,7,1196,452,9.779,0.978,8219
1,8,1224,472,7.811,0.781,8406
1,9,1234,494,5.486,0.549,6811
1,10,1238,514,4.630,0.463,7554
1,11,1246,544,7.048,0.705,7924
1,12,1258,576,7.758,0.776,8472
1,13,1270,590,4.186,0.419,8414
1,14,1276,592,1.436,0.144,8162
1,15,1282,594,1.436,0.144,8216
1,16,1286,602,2.030,0.203,7693
1,17,1288,602,0.454,0.045,7724
1,18,1290,608,1.436,0.144,8173
1,19,1296,614,1.926,0.193,7276
1,20,1292,628,3.305,0.331,8380
1,21,1284,640,3.274,0.327,7470
1,22,1280,642,1.015,0.102,7851
1,23,1260,688,11.386,1.139,7593
1,24,1254,700,3.046,0.305,7780
1,25,1250,724,5.523,0.552,7630
1,26,1248,738,3.210,0.321,7731
1,27,1246,754,3.660,0.366,8014
2,1,1012,722,-1.000,-1.000,6982
2,2,1014,726,1.015,0.102,6837
2,3,1016,742,3.660,0.366,7038
2,4,1016,744,0.454,0.045,7389
2,5,1016,744,0.000,0.000,7246
2,6,1016,744,0.000,0.000,7612
2,7,1016,744,0.000,0.000,6230
2,8,1016,744,0.000,0.000,6846
2,9,1016,744,0.000,0.000,6679
2,10,1012,750,1.637,0.164,7852
2,11,1010,758,1.872,0.187,8117
2,12,1010,758,0.000,0.000,8002
2,13,1012,750,1.872,0.187,6539
2,14,1014,748,0.642,0.064,7310
2,15,1016,744,1.015,0.102,7411
2,16,1022,738,1.926,0.193,7355
2,17,1026,720,4.186,0.419,7748
2,18,1030,710,2.445,0.244,7857
2,19,1036,698,3.046,0.305,7844
2,20,1050,680,5.176,0.518,7110
2,21,1078,644,10.353,1.035,7681
2,22,1106,628,7.321,0.732,6843
2,23,1144,614,9.193,0.919,7393
2,24,1158,612,3.210,0.321,7701
2,25,1174,618,3.879,0.388,7619
2,26,1170,636,4.186,0.419,7457
2,27,1156,650,4.494,0.449,7581
2,28,1144,654,2.871,0.287,6900
2,29,1108,648,8.285,0.828,7233
2,30,1106,660,2.762,0.276,6905
2,31,1112,676,3.879,0.388,7213
2,32,1112,676,0.000,0.000,7184
2,33,1112,678,0.454,0.045,6677
2,34,1112,692,3.178,0.318,7441
2,35,1114,698,1.436,0.144,7790
2,36,1118,704,1.637,0.164,7713
2,37,1130,720,4.540,0.454,7546
2,38,1130,726,1.362,0.136,6725
2,39,1140,756,7.178,0.718,6451
2,40,1162,790,9.193,0.919,8509
2,41,1174,798,3.274,0.327,7622
2,42,1178,800,1.015,0.102,7372
2,43,1178,804,0.908,0.091,7393
2,44,1178,812,1.816,0.182,6349
2,45,1178,818,1.362,0.136,7543
2,46,1178,822,0.908,0.091,7564
2,47,1178,826,0.908,0.091,7339
2,48,1174,830,1.284,0.128,7477
2,49,1168,834,1.637,0.164,7133
2,50,1154,842,3.660,0.366,6780
2,51,1142,852,3.546,0.355,7295
2,52,1140,854,0.642,0.064,6993
2,53,1122,866,4.911,0.491,6851
2,54,1118,870,1.284,0.128,7152
2,55,1118,872,0.454,0.045,7359
2,56,1118,872,0.000,0.000,7191
2,57,1118,874,0.454,0.045,7433
2,58,1118,876,0.454,0.045,6461
2,59,1116,880,1.015,0.102,7067
2,60,1114,894,3.210,0.321,6797
2,61,1114,900,1.362,0.136,7018
2,62,1114,902,0.454,0.045,7736
2,63,1114,912,2.270,0.227,7257
2,64,1118,942,6.870,0.687,7653
2,65,1132,978,8.768,0.877,7182
2,66,1148,992,4.826,0.483,7449
2,67,1168,994,4.563,0.456,7060
2,68,1176,984,2.907,0.291,7822
2,69,1194,982,4.111,0.411,7032
2,70,1206,980,2.762,0.276,7567
2,71,1214,976,2.030,0.203,7359
2,72,1228,976,3.178,0.318,7211
2,73,1236,980,2.030,0.203,7135
3,1,1234,978,-1.000,-1.000,7061
3,2,1226,984,2.270,0.227,7150
3,3,1222,988,1.284,0.128,6095
3,4,1208,994,3.458,0.346,7452
3,5,1202,1000,1.926,0.193,6626
3,6,1198,1016,3.744,0.374,7190
3,7,1200,1032,3.660,0.366,7174
3,8,1206,1036,1.637,0.164,7055
